Date,DataCentre,Monthly_Contracted,Reserved,Decommissioned,Total_Contracted,Avg_Total_Load,Avg_IT_Load,Remaining_Racks,Space_Fill_%,Remaining_Load_kW,Load_Fill_%,Available_IT_kW,Utilization_%,Energy_kWh,Demand_Ratio,Actual_Density_kW_per_Rack
2025-01-31,KenyaDC,9,10,0,9,71.1,37.0,177,4.838709677419355,828.9,7.899999999999999,603.0,5.78125,51902.99999999999,1.5799999999999998,4.111111111111111
2025-02-28,KenyaDC,8,0,0,17,107.5,68.9,169,9.13978494623656,792.5,11.944444444444445,571.1,10.765625,78475.0,1.2647058823529411,4.052941176470589
2025-03-31,KenyaDC,6,10,0,23,165.9,88.9,163,12.365591397849462,734.1,18.433333333333334,551.1,13.890625,121107.0,1.442608695652174,3.865217391304348
2025-04-30,KenyaDC,10,1,2,31,198.7,128.3,155,16.666666666666664,701.3,22.077777777777776,511.7,20.046875000000004,145051.0,1.2819354838709676,4.138709677419355
2025-05-31,KenyaDC,8,0,1,38,271.7,155.9,148,20.43010752688172,628.3,30.188888888888886,484.1,24.359375,198341.0,1.43,4.102631578947369
2025-06-30,KenyaDC,8,3,1,45,326.7,187.3,141,24.193548387096776,573.3,36.3,452.7,29.265625,238491.0,1.452,4.162222222222223
2025-07-31,KenyaDC,9,5,2,52,364.0,201.9,134,27.956989247311824,536.0,40.44444444444444,438.1,31.546875000000004,265720.0,1.4,3.8826923076923077
2025-08-31,KenyaDC,5,3,2,55,426.4,226.0,131,29.56989247311828,473.6,47.37777777777777,414.0,35.3125,311272.0,1.5505454545454544,4.109090909090909
2025-09-30,KenyaDC,4,3,1,58,416.1,225.4,128,31.182795698924732,483.9,46.233333333333334,414.6,35.21875,303753.0,1.4348275862068967,3.886206896551724
2025-10-31,KenyaDC,4,4,1,61,454.0,251.4,125,32.795698924731184,446.0,50.44444444444445,388.6,39.28125,331420.0,1.4885245901639343,4.121311475409836
2025-11-30,KenyaDC,8,5,1,68,508.3,271.1,118,36.55913978494624,391.7,56.47777777777778,368.9,42.35937500000001,371059.0,1.495,3.9867647058823534
2025-12-31,KenyaDC,9,9,1,76,460.1,289.0,110,40.86021505376344,439.9,51.12222222222223,351.0,45.15625,335873.0,1.2107894736842106,3.8026315789473686
2026-01-31,KenyaDC,4,8,1,79,559.9,327.6,107,42.473118279569896,340.1,62.21111111111111,312.4,51.18750000000001,408727.0,1.4174683544303797,4.146835443037975
2026-02-28,KenyaDC,10,8,2,87,620.8,342.6,99,46.774193548387096,279.20000000000005,68.97777777777777,297.4,53.53125000000001,453183.99999999994,1.427126436781609,3.9379310344827587
2026-03-31,KenyaDC,4,5,2,89,655.4,344.1,97,47.8494623655914,244.60000000000002,72.82222222222222,295.9,53.76562500000001,478442.0,1.472808988764045,3.8662921348314607
2026-04-30,KenyaDC,7,8,0,96,744.4,389.3,90,51.61290322580645,155.60000000000002,82.71111111111111,250.7,60.828125,543412.0,1.5508333333333333,4.055208333333334
2026-05-31,KenyaDC,9,9,2,103,812.3,423.6,83,55.376344086021504,87.70000000000005,90.25555555555556,216.39999999999998,66.1875,592979.0,1.5772815533980582,4.112621359223302
2026-06-30,KenyaDC,6,9,0,109,677.9,438.2,77,58.602150537634415,222.10000000000002,75.32222222222222,201.8,68.46875,494867.0,1.2438532110091742,4.020183486238532
2026-07-31,KenyaDC,10,4,0,119,707.6,454.4,67,63.97849462365591,192.39999999999998,78.62222222222222,185.60000000000002,71.0,516548.0,1.1892436974789917,3.818487394957983
2026-08-31,KenyaDC,8,8,1,126,865.7,513.4,60,67.74193548387096,34.299999999999955,96.1888888888889,126.60000000000002,80.21875,631961.0,1.3741269841269843,4.074603174603174
2026-09-30,KenyaDC,9,5,2,133,924.0,510.8,53,71.50537634408603,-24.0,102.66666666666666,129.2,79.8125,674520.0,1.3894736842105264,3.8406015037593986
2026-10-31,KenyaDC,7,1,1,139,842.9,532.6,47,74.73118279569893,57.10000000000002,93.65555555555557,107.39999999999998,83.21875000000001,615317.0,1.2128057553956835,3.831654676258993
2026-11-30,KenyaDC,8,3,0,147,1113.9,587.6,39,79.03225806451613,-213.9000000000001,123.76666666666667,52.39999999999998,91.81250000000001,813147.0000000001,1.5155102040816328,3.997278911564626
2026-12-31,KenyaDC,3,2,1,149,1054.9,593.3,37,80.10752688172043,-154.9000000000001,117.21111111111111,46.700000000000045,92.703125,770077.0000000001,1.4159731543624163,3.981879194630872
2027-01-01,KenyaDC,4,5,1,178,1054.9,600.0,8,95.6989247311828,-154.9000000000001,117.21111111111111,40.0,93.75,770077.0000000001,1.1852808988764045,3.3707865168539324
2025-01-31,UgandaDC,10,9,0,10,74.0,40.3,190,5.0,1126.0,6.166666666666667,759.7,5.0375,54020.0,1.48,4.029999999999999
